                                                                                            List of relations
 Schema |                              Name                               | Type  |   Owner    |                     Table                      | Persistence | Access method |    Size    | Description 
 public | django_session_expire_date_a5c62663                             | index | admin_prod | django_session                                 | permanent   | btree         | 8192 bytes | 
 public | django_session_pkey                                             | index | admin_prod | django_session                                 | permanent   | btree         | 8192 bytes | 
 public | django_session_session_key_c0390e0f_like                        | index | admin_prod | django_session                                 | permanent   | btree         | 8192 bytes | 
 public | documentos_chofer_chofer_id_628dfec3                            | index | admin_prod | documentos_chofer                              | permanent   | btree         | 16 kB      | 
 public | documentos_chofer_pkey                                          | index | admin_prod | documentos_chofer                              | permanent   | btree         | 16 kB      | 
 public | documentos_variables_holding_id_215c4063                        | index | admin_prod | documentos_variables                           | permanent   | btree         | 16 kB      | 
 public | documentos_variables_pkey                                       | index | admin_prod | documentos_variables                           | permanent   | btree         | 16 kB      | 
 public | documentos_vehiculo_pkey                                        | index | admin_prod | documentos_vehiculo                            | permanent   | btree         | 16 kB      | 
 public | documentos_vehiculo_vehiculo_id_4568ffde                        | index | admin_prod | documentos_vehiculo                            | permanent   | btree         | 16 kB      | 
 public | elemento_seguridad_holding_id_45fef280                          | index | admin_prod | elemento_seguridad                             | permanent   | btree         | 16 kB      | 
 public | elemento_seguridad_holding_id_elemento_9b55085a_uniq            | index | admin_prod | elemento_seguridad                             | permanent   | btree         | 16 kB      | 
 public | elemento_seguridad_pkey                                         | index | admin_prod | elemento_seguridad                             | permanent   | btree         | 16 kB      | 
 public | empresas_transporte_banco_id_fe99df94                           | index | admin_prod | empresas_transporte                            | permanent   | btree         | 16 kB      | 
 public | empresas_transporte_holding_id_7dc914ca                         | index | admin_prod | empresas_transporte                            | permanent   | btree         | 16 kB      | 
 public | empresas_transporte_pkey                                        | index | admin_prod | empresas_transporte                            | permanent   | btree         | 16 kB      | 
 public | enlaces_auto_registro_holding_id_01660609                       | index | admin_prod | enlaces_auto_registro                          | permanent   | btree         | 8192 bytes | 
 public | enlaces_auto_registro_perfil_id_0e142645                        | index | admin_prod | enlaces_auto_registro                          | permanent   | btree         | 8192 bytes | 
 public | enlaces_auto_registro_pkey                                      | index | admin_prod | enlaces_auto_registro                          | permanent   | btree         | 8192 bytes | 
 public | enlaces_auto_registro_token_e6c8fd5c_like                       | index | admin_prod | enlaces_auto_registro                          | permanent   | btree         | 8192 bytes | 
 public | enlaces_auto_registro_token_key                                 | index | admin_prod | enlaces_auto_registro                          | permanent   | btree         | 8192 bytes | 
 public | enlaces_auto_registro_usuario_creador_id_4b2b232f               | index | admin_prod | enlaces_auto_registro                          | permanent   | btree         | 8192 bytes | 
 public | estados_discapacidad_pkey                                       | index | admin_prod | estados_discapacidad                           | permanent   | btree         | 8192 bytes | 
 public | facturas_si_holding_439ca1_idx                                  | index | admin_prod | facturas_sii_por_distribuir                    | permanent   | btree         | 8192 bytes | 
 public | facturas_si_holding_b9b7f3_idx                                  | index | admin_prod | facturas_sii_por_distribuir                    | permanent   | btree         | 8192 bytes | 
 public | facturas_si_pdf_des_6bdd85_idx                                  | index | admin_prod | facturas_sii_por_distribuir                    | permanent   | btree         | 8192 bytes | 
 public | facturas_sii_dist_cliente_idx                                   | index | admin_prod | facturas_sii_distribuidas                      | permanent   | btree         | 8192 bytes | 
 public | facturas_sii_dist_holding_idx                                   | index | admin_prod | facturas_sii_distribuidas                      | permanent   | btree         | 8192 bytes | 
 public | facturas_sii_dist_lookup_idx                                    | index | admin_prod | facturas_sii_distribuidas                      | permanent   | btree         | 8192 bytes | 
 public | facturas_sii_dist_tipo_idx                                      | index | admin_prod | facturas_sii_distribuidas                      | permanent   | btree         | 8192 bytes | 
 public | facturas_sii_distribuidas_cliente_id_15bb1686                   | index | admin_prod | facturas_sii_distribuidas                      | permanent   | btree         | 8192 bytes | 
 public | facturas_sii_distribuidas_cuenta_id_06d0d530                    | index | admin_prod | facturas_sii_distribuidas                      | permanent   | btree         | 8192 bytes | 
 public | facturas_sii_distribuidas_fundo_id_9158c2ab                     | index | admin_prod | facturas_sii_distribuidas                      | permanent   | btree         | 8192 bytes | 
 public | facturas_sii_distribuidas_holding_id_da2355c7                   | index | admin_prod | facturas_sii_distribuidas                      | permanent   | btree         | 8192 bytes | 
 public | facturas_sii_distribuidas_labor_id_505d29ae                     | index | admin_prod | facturas_sii_distribuidas                      | permanent   | btree         | 8192 bytes | 
 public | facturas_sii_distribuidas_pkey                                  | index | admin_prod | facturas_sii_distribuidas                      | permanent   | btree         | 8192 bytes | 
 public | facturas_sii_distribuidas_usuario_distribuyente_id_3d390280     | index | admin_prod | facturas_sii_distribuidas                      | permanent   | btree         | 8192 bytes | 
